Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_day,Journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute
IndiGo,Banglore,New Delhi,BLR → DEL,170,0,No info,3897,24,3,22,20,1,10
Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,No info,7662,1,5,5,50,13,15
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,1140,2,No info,13882,9,6,9,25,4,25
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,325,1,No info,6218,12,5,18,5,23,30
IndiGo,Banglore,New Delhi,BLR → NAG → DEL,285,1,No info,13302,1,3,16,50,21,35
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,No info,3873,24,6,9,0,11,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,930,1,In-flight meal not included,11087,12,3,18,55,10,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1265,1,No info,22270,1,3,8,0,5,5
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1530,1,In-flight meal not included,11087,12,3,8,55,10,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,470,1,No info,8625,27,5,11,25,19,15
Air India,Delhi,Cochin,DEL → BLR → COK,795,1,No info,8907,1,6,9,45,23,0
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,No info,4174,18,4,20,20,22,55
Air India,Chennai,Kolkata,MAA → CCU,135,0,No info,4667,24,6,11,40,13,55
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,In-flight meal not included,9663,9,5,21,10,9,20
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,No info,4804,24,4,17,15,19,50
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,No info,14011,3,3,16,40,19,15
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,No info,5830,15,4,8,45,13,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1355,1,In-flight meal not included,10262,12,6,14,0,12,35
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,No info,13381,12,6,20,15,19,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1235,1,In-flight meal not included,12898,27,5,16,0,12,35
GoAir,Delhi,Cochin,DEL → BOM → COK,310,1,No info,19495,6,3,14,10,19,20
Air India,Banglore,New Delhi,BLR → COK → DEL,920,1,No info,6955,21,3,22,0,13,20
